frame_idx,n_tracked,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms
0,7,0,0.000,0.000,0.000,132.3
1,7,0,0.000,0.000,0.000,1.0
2,7,0,0.000,0.000,0.000,1.0
3,7,0,0.000,0.000,0.000,0.8
4,7,0,0.000,0.000,0.000,0.8
5,7,0,0.000,0.000,0.000,1.0
6,7,1,-0.961,0.062,0.963,0.9
7,6,1,0.584,-0.718,0.926,0.8
8,6,0,0.000,0.000,0.000,0.8
9,6,0,0.000,0.000,0.000,1.3
10,6,0,0.000,0.000,0.000,0.9
11,6,0,0.000,0.000,0.000,0.8
12,6,0,0.000,0.000,0.000,0.7
13,6,3,-0.770,-0.594,0.972,7.0
14,6,0,0.000,0.000,0.000,0.8
15,6,0,0.000,0.000,0.000,0.8
16,6,0,0.000,0.000,0.000,0.8
17,6,0,0.000,0.000,0.000,1.0
18,6,0,0.000,0.000,0.000,0.9
19,6,0,0.000,0.000,0.000,1.0
20,6,1,-0.744,-0.306,0.804,0.7
21,6,0,0.000,0.000,0.000,0.8
22,6,0,0.000,0.000,0.000,0.8
23,6,0,0.000,0.000,0.000,0.8
24,6,0,0.000,0.000,0.000,0.7
25,6,0,0.000,0.000,0.000,0.9
26,6,0,0.000,0.000,0.000,0.9
27,6,0,0.000,0.000,0.000,0.8
28,6,0,0.000,0.000,0.000,0.9
29,6,0,0.000,0.000,0.000,1.0
30,6,0,0.000,0.000,0.000,1.1
31,6,0,0.000,0.000,0.000,0.8
32,6,0,0.000,0.000,0.000,0.7
33,6,0,0.000,0.000,0.000,0.9
34,6,3,-0.756,-0.543,0.931,1.2
35,6,0,0.000,0.000,0.000,0.9
36,6,0,0.000,0.000,0.000,1.0
37,6,0,0.000,0.000,0.000,1.0
38,6,0,0.000,0.000,0.000,1.5
39,6,0,0.000,0.000,0.000,1.6
40,6,0,0.000,0.000,0.000,1.0
41,6,3,-0.837,-0.344,0.905,1.1
42,6,0,0.000,0.000,0.000,0.9
43,6,0,0.000,0.000,0.000,1.0
44,6,0,0.000,0.000,0.000,0.9
45,6,0,0.000,0.000,0.000,0.7
46,6,0,0.000,0.000,0.000,0.9
47,6,0,0.000,0.000,0.000,0.9
48,6,0,0.000,0.000,0.000,0.9
49,6,0,0.000,0.000,0.000,1.3
50,6,0,0.000,0.000,0.000,1.0
51,6,0,0.000,0.000,0.000,1.1
52,6,0,0.000,0.000,0.000,1.0
53,6,0,0.000,0.000,0.000,1.0
54,6,0,0.000,0.000,0.000,1.0
55,6,0,0.000,0.000,0.000,0.9
56,6,0,0.000,0.000,0.000,0.8
57,6,0,0.000,0.000,0.000,0.8
58,6,0,0.000,0.000,0.000,0.9
59,6,0,0.000,0.000,0.000,0.9
60,8,0,0.000,0.000,0.000,121.7
61,8,0,0.000,0.000,0.000,0.8
62,8,0,0.000,0.000,0.000,1.1
63,8,0,0.000,0.000,0.000,0.9
64,8,0,0.000,0.000,0.000,1.0
65,8,0,0.000,0.000,0.000,1.2
66,8,0,0.000,0.000,0.000,1.0
67,8,0,0.000,0.000,0.000,0.8
68,8,0,0.000,0.000,0.000,0.8
69,8,2,-0.830,0.037,0.830,1.0
70,8,0,0.000,0.000,0.000,0.9
71,8,0,0.000,0.000,0.000,1.3
72,8,0,0.000,0.000,0.000,1.2
73,8,0,0.000,0.000,0.000,1.2
74,8,0,0.000,0.000,0.000,1.2
75,8,0,0.000,0.000,0.000,1.1
76,8,0,0.000,0.000,0.000,0.9
77,8,0,0.000,0.000,0.000,1.3
78,8,0,0.000,0.000,0.000,1.0
79,8,0,0.000,0.000,0.000,0.9
80,8,0,0.000,0.000,0.000,1.2
81,8,0,0.000,0.000,0.000,0.8
82,8,0,0.000,0.000,0.000,1.0
83,8,0,0.000,0.000,0.000,0.8
84,8,0,0.000,0.000,0.000,0.8
85,8,0,0.000,0.000,0.000,0.9
86,8,1,-0.688,-0.818,1.069,0.8
87,8,0,0.000,0.000,0.000,0.8
88,8,0,0.000,0.000,0.000,0.9
89,8,0,0.000,0.000,0.000,0.8
90,8,0,0.000,0.000,0.000,0.9
91,8,0,0.000,0.000,0.000,0.8
92,8,1,-0.013,-0.805,0.805,0.9
93,8,0,0.000,0.000,0.000,0.7
94,8,1,-0.777,-0.511,0.930,1.0
95,8,0,0.000,0.000,0.000,0.8
96,8,0,0.000,0.000,0.000,0.8
97,8,0,0.000,0.000,0.000,1.0
98,8,1,-0.455,-0.691,0.828,1.0
99,8,0,0.000,0.000,0.000,0.9
100,8,0,0.000,0.000,0.000,0.8
101,8,0,0.000,0.000,0.000,0.7
102,8,0,0.000,0.000,0.000,0.7
103,8,0,0.000,0.000,0.000,0.8
104,8,0,0.000,0.000,0.000,0.9
105,8,0,0.000,0.000,0.000,0.8
106,8,0,0.000,0.000,0.000,0.9
107,8,0,0.000,0.000,0.000,1.0
108,8,0,0.000,0.000,0.000,1.0
109,8,0,0.000,0.000,0.000,1.1
110,8,0,0.000,0.000,0.000,0.9
111,8,0,0.000,0.000,0.000,1.0
112,8,1,-0.351,-0.743,0.822,0.8
113,8,0,0.000,0.000,0.000,1.3
114,8,0,0.000,0.000,0.000,1.2
115,8,0,0.000,0.000,0.000,1.0
116,8,0,0.000,0.000,0.000,0.9
117,8,2,-0.729,-0.542,0.908,1.2
118,8,0,0.000,0.000,0.000,0.8
119,8,0,0.000,0.000,0.000,0.8
120,9,0,0.000,0.000,0.000,120.5
121,9,0,0.000,0.000,0.000,0.9
122,9,0,0.000,0.000,0.000,1.2
123,9,0,0.000,0.000,0.000,1.0
124,9,0,0.000,0.000,0.000,1.1
125,9,3,-1.195,-0.179,1.208,1.3
126,9,0,0.000,0.000,0.000,0.9
127,9,0,0.000,0.000,0.000,0.8
128,9,0,0.000,0.000,0.000,1.1
129,9,0,0.000,0.000,0.000,1.2
130,9,0,0.000,0.000,0.000,0.8
131,9,0,0.000,0.000,0.000,0.9
132,9,0,0.000,0.000,0.000,1.5
133,9,2,-0.916,-0.583,1.086,1.2
134,9,0,0.000,0.000,0.000,1.1
135,9,0,0.000,0.000,0.000,0.8
136,9,0,0.000,0.000,0.000,0.9
137,9,0,0.000,0.000,0.000,0.9
138,9,0,0.000,0.000,0.000,0.9
139,9,0,0.000,0.000,0.000,1.1
140,9,0,0.000,0.000,0.000,1.0
141,9,1,-0.741,-1.169,1.384,1.0
142,9,0,0.000,0.000,0.000,0.9
143,9,0,0.000,0.000,0.000,1.0
144,9,0,0.000,0.000,0.000,0.8
145,9,0,0.000,0.000,0.000,0.8
146,9,0,0.000,0.000,0.000,0.9
147,9,0,0.000,0.000,0.000,1.0
148,9,0,0.000,0.000,0.000,1.0
149,9,1,-0.868,-1.015,1.335,0.9
150,9,0,0.000,0.000,0.000,0.9
151,9,0,0.000,0.000,0.000,1.3
152,9,0,0.000,0.000,0.000,1.2
153,9,0,0.000,0.000,0.000,1.0
154,9,0,0.000,0.000,0.000,1.2
155,9,0,0.000,0.000,0.000,0.9
156,9,0,0.000,0.000,0.000,0.8
157,9,0,0.000,0.000,0.000,1.1
158,9,1,-0.238,-0.779,0.815,1.0
159,9,0,0.000,0.000,0.000,0.8
160,9,0,0.000,0.000,0.000,0.9
161,9,0,0.000,0.000,0.000,0.9
162,9,0,0.000,0.000,0.000,0.8
163,9,0,0.000,0.000,0.000,0.9
164,9,0,0.000,0.000,0.000,0.9
