frame_idx,n_tracked,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms
0,6,0,0.000,0.000,0.000,125.8
1,6,0,0.000,0.000,0.000,0.9
2,6,0,0.000,0.000,0.000,0.9
3,6,0,0.000,0.000,0.000,0.7
4,6,0,0.000,0.000,0.000,1.0
5,6,0,0.000,0.000,0.000,1.0
6,6,0,0.000,0.000,0.000,1.1
7,6,0,0.000,0.000,0.000,1.0
8,6,0,0.000,0.000,0.000,1.1
9,6,0,0.000,0.000,0.000,0.9
10,6,0,0.000,0.000,0.000,1.0
11,6,0,0.000,0.000,0.000,1.3
12,6,0,0.000,0.000,0.000,1.1
13,6,0,0.000,0.000,0.000,1.1
14,6,0,0.000,0.000,0.000,0.8
15,6,0,0.000,0.000,0.000,0.7
16,6,0,0.000,0.000,0.000,0.8
17,6,0,0.000,0.000,0.000,0.8
18,6,0,0.000,0.000,0.000,1.1
19,6,0,0.000,0.000,0.000,1.4
20,6,0,0.000,0.000,0.000,0.8
21,6,1,0.235,-0.281,0.366,0.8
22,6,0,0.000,0.000,0.000,0.9
23,6,0,0.000,0.000,0.000,0.9
24,6,0,0.000,0.000,0.000,1.0
25,6,0,0.000,0.000,0.000,0.9
26,6,0,0.000,0.000,0.000,1.2
27,6,0,0.000,0.000,0.000,0.8
28,6,0,0.000,0.000,0.000,0.9
29,6,0,0.000,0.000,0.000,0.8
30,6,0,0.000,0.000,0.000,0.9
31,6,0,0.000,0.000,0.000,1.0
32,6,0,0.000,0.000,0.000,0.8
33,6,0,0.000,0.000,0.000,0.8
34,6,0,0.000,0.000,0.000,0.8
35,6,0,0.000,0.000,0.000,0.8
36,6,0,0.000,0.000,0.000,0.8
37,6,0,0.000,0.000,0.000,1.6
38,6,0,0.000,0.000,0.000,1.4
39,6,0,0.000,0.000,0.000,0.8
40,6,0,0.000,0.000,0.000,0.9
41,6,0,0.000,0.000,0.000,0.9
42,6,0,0.000,0.000,0.000,1.0
43,6,0,0.000,0.000,0.000,1.0
44,6,0,0.000,0.000,0.000,1.0
45,6,0,0.000,0.000,0.000,1.0
46,6,0,0.000,0.000,0.000,1.0
47,6,0,0.000,0.000,0.000,1.0
48,6,0,0.000,0.000,0.000,1.0
49,6,0,0.000,0.000,0.000,1.0
50,6,0,0.000,0.000,0.000,0.9
51,6,0,0.000,0.000,0.000,1.4
52,6,0,0.000,0.000,0.000,1.0
53,6,0,0.000,0.000,0.000,0.9
54,6,0,0.000,0.000,0.000,0.8
55,6,0,0.000,0.000,0.000,1.1
56,6,0,0.000,0.000,0.000,1.3
57,6,0,0.000,0.000,0.000,0.9
58,6,0,0.000,0.000,0.000,0.8
59,6,0,0.000,0.000,0.000,1.0
60,6,0,0.000,0.000,0.000,0.9
61,6,0,0.000,0.000,0.000,0.9
62,6,0,0.000,0.000,0.000,1.2
63,6,0,0.000,0.000,0.000,1.3
64,6,0,0.000,0.000,0.000,0.9
65,6,0,0.000,0.000,0.000,1.0
66,6,0,0.000,0.000,0.000,1.1
67,6,0,0.000,0.000,0.000,1.0
68,6,0,0.000,0.000,0.000,1.0
69,6,0,0.000,0.000,0.000,1.1
70,6,0,0.000,0.000,0.000,0.9
71,6,0,0.000,0.000,0.000,0.9
72,6,0,0.000,0.000,0.000,1.2
73,6,0,0.000,0.000,0.000,1.1
74,6,0,0.000,0.000,0.000,1.1
75,6,0,0.000,0.000,0.000,0.9
76,6,0,0.000,0.000,0.000,0.9
77,6,0,0.000,0.000,0.000,1.2
78,6,0,0.000,0.000,0.000,0.9
79,6,0,0.000,0.000,0.000,1.0
80,6,0,0.000,0.000,0.000,1.2
81,6,0,0.000,0.000,0.000,1.2
82,6,0,0.000,0.000,0.000,1.3
83,6,0,0.000,0.000,0.000,1.5
84,6,0,0.000,0.000,0.000,0.8
85,6,0,0.000,0.000,0.000,0.9
86,6,0,0.000,0.000,0.000,0.8
87,6,0,0.000,0.000,0.000,0.9
88,6,0,0.000,0.000,0.000,1.0
89,6,0,0.000,0.000,0.000,1.0
90,6,0,0.000,0.000,0.000,0.9
91,6,0,0.000,0.000,0.000,1.0
92,6,0,0.000,0.000,0.000,0.7
93,6,0,0.000,0.000,0.000,0.8
94,6,0,0.000,0.000,0.000,1.2
95,6,0,0.000,0.000,0.000,0.9
96,6,0,0.000,0.000,0.000,0.9
97,6,0,0.000,0.000,0.000,1.6
98,6,0,0.000,0.000,0.000,1.1
99,6,0,0.000,0.000,0.000,1.1
100,6,0,0.000,0.000,0.000,1.0
101,6,0,0.000,0.000,0.000,1.2
102,6,0,0.000,0.000,0.000,0.8
103,6,0,0.000,0.000,0.000,1.1
104,6,0,0.000,0.000,0.000,0.8
105,6,0,0.000,0.000,0.000,0.8
106,6,0,0.000,0.000,0.000,0.8
107,6,0,0.000,0.000,0.000,0.8
108,6,0,0.000,0.000,0.000,1.4
109,6,0,0.000,0.000,0.000,0.9
110,6,0,0.000,0.000,0.000,1.4
111,6,0,0.000,0.000,0.000,0.8
112,6,0,0.000,0.000,0.000,0.7
113,6,0,0.000,0.000,0.000,0.9
114,6,0,0.000,0.000,0.000,1.0
115,6,0,0.000,0.000,0.000,1.0
116,6,0,0.000,0.000,0.000,1.2
117,6,0,0.000,0.000,0.000,1.2
118,6,0,0.000,0.000,0.000,1.2
119,6,0,0.000,0.000,0.000,1.0
120,6,0,0.000,0.000,0.000,0.9
121,6,0,0.000,0.000,0.000,0.9
122,6,0,0.000,0.000,0.000,0.9
123,6,0,0.000,0.000,0.000,0.9
124,6,0,0.000,0.000,0.000,1.4
125,6,0,0.000,0.000,0.000,0.9
126,6,0,0.000,0.000,0.000,1.3
127,6,0,0.000,0.000,0.000,1.0
128,6,0,0.000,0.000,0.000,0.9
129,6,0,0.000,0.000,0.000,1.3
130,6,0,0.000,0.000,0.000,1.0
131,6,0,0.000,0.000,0.000,1.0
132,6,0,0.000,0.000,0.000,1.0
133,6,0,0.000,0.000,0.000,0.8
134,6,0,0.000,0.000,0.000,0.9
135,6,0,0.000,0.000,0.000,1.5
136,6,0,0.000,0.000,0.000,1.1
137,6,0,0.000,0.000,0.000,1.1
138,6,0,0.000,0.000,0.000,0.9
139,6,0,0.000,0.000,0.000,0.9
140,6,0,0.000,0.000,0.000,0.9
141,6,0,0.000,0.000,0.000,1.1
142,6,0,0.000,0.000,0.000,0.9
143,6,0,0.000,0.000,0.000,1.0
144,6,0,0.000,0.000,0.000,1.3
145,6,0,0.000,0.000,0.000,0.8
146,6,0,0.000,0.000,0.000,0.8
147,6,0,0.000,0.000,0.000,0.9
148,6,0,0.000,0.000,0.000,0.8
149,6,0,0.000,0.000,0.000,0.8
150,6,0,0.000,0.000,0.000,1.1
151,6,0,0.000,0.000,0.000,1.0
152,6,0,0.000,0.000,0.000,1.3
153,6,0,0.000,0.000,0.000,1.0
154,6,0,0.000,0.000,0.000,0.9
155,6,0,0.000,0.000,0.000,1.3
156,6,0,0.000,0.000,0.000,0.9
157,6,0,0.000,0.000,0.000,0.8
158,6,0,0.000,0.000,0.000,0.9
159,6,0,0.000,0.000,0.000,0.8
160,6,0,0.000,0.000,0.000,0.9
161,6,0,0.000,0.000,0.000,1.5
162,6,0,0.000,0.000,0.000,1.2
163,6,0,0.000,0.000,0.000,1.0
164,6,0,0.000,0.000,0.000,1.0
165,6,0,0.000,0.000,0.000,0.9
166,6,0,0.000,0.000,0.000,0.9
167,6,0,0.000,0.000,0.000,0.8
168,6,0,0.000,0.000,0.000,0.8
169,6,0,0.000,0.000,0.000,1.4
170,6,0,0.000,0.000,0.000,1.4
171,6,0,0.000,0.000,0.000,0.8
172,6,0,0.000,0.000,0.000,0.8
173,6,0,0.000,0.000,0.000,0.8
174,6,0,0.000,0.000,0.000,0.9
175,6,0,0.000,0.000,0.000,0.9
176,6,0,0.000,0.000,0.000,0.9
177,6,0,0.000,0.000,0.000,1.1
178,6,0,0.000,0.000,0.000,1.1
179,6,0,0.000,0.000,0.000,1.1
180,6,0,0.000,0.000,0.000,1.1
181,6,0,0.000,0.000,0.000,1.0
182,6,0,0.000,0.000,0.000,1.2
183,6,0,0.000,0.000,0.000,1.3
184,6,0,0.000,0.000,0.000,0.9
185,6,0,0.000,0.000,0.000,1.0
186,6,0,0.000,0.000,0.000,1.2
187,6,0,0.000,0.000,0.000,1.1
188,6,0,0.000,0.000,0.000,1.0
189,6,0,0.000,0.000,0.000,0.9
190,6,0,0.000,0.000,0.000,1.1
191,6,0,0.000,0.000,0.000,0.9
192,6,0,0.000,0.000,0.000,0.8
193,6,0,0.000,0.000,0.000,0.8
194,6,0,0.000,0.000,0.000,0.9
195,6,0,0.000,0.000,0.000,0.9
196,6,0,0.000,0.000,0.000,1.2
197,6,0,0.000,0.000,0.000,1.0
198,6,0,0.000,0.000,0.000,1.0
199,6,0,0.000,0.000,0.000,0.8
200,6,0,0.000,0.000,0.000,1.0
201,6,0,0.000,0.000,0.000,0.8
202,6,0,0.000,0.000,0.000,1.0
203,6,0,0.000,0.000,0.000,1.1
204,6,0,0.000,0.000,0.000,1.0
205,6,0,0.000,0.000,0.000,1.0
206,6,0,0.000,0.000,0.000,1.0
207,6,0,0.000,0.000,0.000,1.1
208,6,0,0.000,0.000,0.000,1.1
209,6,0,0.000,0.000,0.000,0.8
210,6,0,0.000,0.000,0.000,0.9
211,6,0,0.000,0.000,0.000,0.9
212,6,0,0.000,0.000,0.000,0.8
213,6,0,0.000,0.000,0.000,0.9
214,6,0,0.000,0.000,0.000,0.9
215,6,0,0.000,0.000,0.000,1.2
216,6,0,0.000,0.000,0.000,0.9
217,6,0,0.000,0.000,0.000,1.1
218,6,0,0.000,0.000,0.000,1.1
219,6,0,0.000,0.000,0.000,1.2
220,6,0,0.000,0.000,0.000,1.0
221,6,0,0.000,0.000,0.000,1.0
