frame_idx,n_tracked,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms
142,3,0,0.000,0.000,0.000,0.7
143,3,0,0.000,0.000,0.000,0.7
144,3,0,0.000,0.000,0.000,0.8
145,3,0,0.000,0.000,0.000,0.7
146,3,0,0.000,0.000,0.000,0.9
147,3,0,0.000,0.000,0.000,1.1
148,3,0,0.000,0.000,0.000,0.8
149,3,0,0.000,0.000,0.000,0.8
150,3,0,0.000,0.000,0.000,0.7
151,3,0,0.000,0.000,0.000,0.7
152,3,0,0.000,0.000,0.000,0.7
153,3,0,0.000,0.000,0.000,0.7
154,3,0,0.000,0.000,0.000,0.8
155,3,0,0.000,0.000,0.000,0.9
156,3,0,0.000,0.000,0.000,1.1
157,3,0,0.000,0.000,0.000,0.8
158,3,0,0.000,0.000,0.000,0.9
159,3,0,0.000,0.000,0.000,0.9
160,3,0,0.000,0.000,0.000,0.8
161,3,0,0.000,0.000,0.000,0.8
162,3,0,0.000,0.000,0.000,0.8
163,3,0,0.000,0.000,0.000,0.8
164,3,0,0.000,0.000,0.000,0.8
165,3,1,-0.815,-0.011,0.815,0.9
166,3,0,0.000,0.000,0.000,1.4
167,3,0,0.000,0.000,0.000,1.0
168,3,0,0.000,0.000,0.000,0.9
169,3,0,0.000,0.000,0.000,0.7
170,3,0,0.000,0.000,0.000,0.7
171,3,0,0.000,0.000,0.000,0.7
172,3,0,0.000,0.000,0.000,0.7
173,3,1,-0.832,-0.568,1.008,0.8
174,3,1,-0.531,-0.841,0.995,0.8
175,3,0,0.000,0.000,0.000,0.8
176,3,0,0.000,0.000,0.000,0.9
177,3,0,0.000,0.000,0.000,1.2
178,3,0,0.000,0.000,0.000,1.0
179,3,1,-0.365,-0.773,0.855,1.1
180,3,0,0.000,0.000,0.000,1.0
181,3,0,0.000,0.000,0.000,1.0
182,3,0,0.000,0.000,0.000,0.9
183,3,0,0.000,0.000,0.000,1.0
184,3,0,0.000,0.000,0.000,1.0
185,3,0,0.000,0.000,0.000,0.9
186,3,0,0.000,0.000,0.000,0.8
187,3,0,0.000,0.000,0.000,0.9
188,3,1,-0.611,-0.526,0.806,1.2
189,3,0,0.000,0.000,0.000,1.0
190,3,0,0.000,0.000,0.000,0.9
191,3,0,0.000,0.000,0.000,1.0
192,3,0,0.000,0.000,0.000,0.9
193,3,0,0.000,0.000,0.000,1.0
194,3,0,0.000,0.000,0.000,1.2
195,3,0,0.000,0.000,0.000,0.9
196,3,1,-0.959,-0.017,0.959,0.9
197,3,0,0.000,0.000,0.000,0.7
198,3,0,0.000,0.000,0.000,1.0
199,3,0,0.000,0.000,0.000,0.8
200,3,0,0.000,0.000,0.000,1.1
201,3,0,0.000,0.000,0.000,0.9
202,3,0,0.000,0.000,0.000,1.3
203,3,0,0.000,0.000,0.000,0.8
204,3,0,0.000,0.000,0.000,0.9
205,3,0,0.000,0.000,0.000,0.7
206,3,0,0.000,0.000,0.000,0.9
207,3,0,0.000,0.000,0.000,0.7
208,3,0,0.000,0.000,0.000,0.7
209,3,0,0.000,0.000,0.000,0.8
210,3,0,0.000,0.000,0.000,0.8
211,3,0,0.000,0.000,0.000,0.8
212,3,0,0.000,0.000,0.000,1.0
213,3,1,-0.928,0.002,0.928,0.8
214,3,0,0.000,0.000,0.000,1.0
215,3,0,0.000,0.000,0.000,0.9
216,3,0,0.000,0.000,0.000,1.0
217,3,0,0.000,0.000,0.000,0.9
218,3,0,0.000,0.000,0.000,0.7
219,3,0,0.000,0.000,0.000,0.9
220,3,1,-0.760,-0.335,0.830,0.7
221,3,0,0.000,0.000,0.000,0.7
222,3,0,0.000,0.000,0.000,0.7
223,3,0,0.000,0.000,0.000,0.8
224,3,1,-0.739,-0.718,1.030,0.8
225,3,0,0.000,0.000,0.000,0.8
226,3,0,0.000,0.000,0.000,0.8
227,3,0,0.000,0.000,0.000,0.8
228,3,0,0.000,0.000,0.000,1.1
229,3,0,0.000,0.000,0.000,1.0
230,3,0,0.000,0.000,0.000,0.9
231,3,0,0.000,0.000,0.000,0.8
232,3,0,0.000,0.000,0.000,0.7
233,3,0,0.000,0.000,0.000,0.8
234,3,0,0.000,0.000,0.000,1.0
235,3,0,0.000,0.000,0.000,1.3
236,3,0,0.000,0.000,0.000,1.1
237,3,0,0.000,0.000,0.000,0.9
238,3,0,0.000,0.000,0.000,0.8
239,3,0,0.000,0.000,0.000,0.9
240,3,0,0.000,0.000,0.000,0.7
241,3,0,0.000,0.000,0.000,1.2
242,3,0,0.000,0.000,0.000,1.1
243,3,0,0.000,0.000,0.000,0.7
244,3,0,0.000,0.000,0.000,0.7
245,3,0,0.000,0.000,0.000,0.8
