frame_idx,n_tracked,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms
142,9,0,0.000,0.000,0.000,1.3
143,9,0,0.000,0.000,0.000,0.9
144,9,0,0.000,0.000,0.000,0.9
145,9,0,0.000,0.000,0.000,0.9
146,9,0,0.000,0.000,0.000,0.7
147,9,0,0.000,0.000,0.000,0.8
148,9,0,0.000,0.000,0.000,0.8
149,9,1,-0.868,-1.015,1.335,0.8
150,9,0,0.000,0.000,0.000,0.9
151,9,0,0.000,0.000,0.000,0.9
152,9,0,0.000,0.000,0.000,0.9
153,9,0,0.000,0.000,0.000,1.3
154,9,0,0.000,0.000,0.000,1.1
155,9,0,0.000,0.000,0.000,0.8
156,9,0,0.000,0.000,0.000,0.8
157,9,0,0.000,0.000,0.000,1.0
158,9,1,-0.238,-0.779,0.815,0.9
159,9,0,0.000,0.000,0.000,0.9
160,9,0,0.000,0.000,0.000,0.9
161,9,0,0.000,0.000,0.000,1.5
162,9,0,0.000,0.000,0.000,1.1
163,9,0,0.000,0.000,0.000,1.2
164,9,0,0.000,0.000,0.000,0.9
165,9,0,0.000,0.000,0.000,1.2
166,9,0,0.000,0.000,0.000,1.0
167,9,0,0.000,0.000,0.000,1.2
168,9,0,0.000,0.000,0.000,1.1
169,9,0,0.000,0.000,0.000,0.9
170,9,0,0.000,0.000,0.000,1.0
171,9,0,0.000,0.000,0.000,0.7
172,9,0,0.000,0.000,0.000,0.9
173,8,4,-0.880,-0.581,1.055,1.2
174,8,1,-0.560,-0.846,1.014,1.2
175,8,0,0.000,0.000,0.000,1.0
176,8,0,0.000,0.000,0.000,1.2
177,8,0,0.000,0.000,0.000,0.9
178,8,0,0.000,0.000,0.000,0.9
179,8,1,-0.414,-0.797,0.898,0.8
180,9,0,0.000,0.000,0.000,123.1
181,9,0,0.000,0.000,0.000,0.9
182,9,0,0.000,0.000,0.000,0.8
183,9,0,0.000,0.000,0.000,1.0
184,9,0,0.000,0.000,0.000,1.0
185,9,0,0.000,0.000,0.000,1.0
186,9,0,0.000,0.000,0.000,1.0
187,9,0,0.000,0.000,0.000,1.1
188,9,2,-0.964,-0.559,1.115,1.1
189,9,0,0.000,0.000,0.000,1.0
190,9,0,0.000,0.000,0.000,0.9
191,9,0,0.000,0.000,0.000,1.0
192,9,0,0.000,0.000,0.000,0.9
193,9,0,0.000,0.000,0.000,0.8
194,9,0,0.000,0.000,0.000,1.1
195,9,0,0.000,0.000,0.000,1.0
196,9,3,-0.898,-0.017,0.898,1.4
197,9,0,0.000,0.000,0.000,1.2
198,9,0,0.000,0.000,0.000,0.9
199,9,0,0.000,0.000,0.000,0.8
200,9,0,0.000,0.000,0.000,1.0
201,9,0,0.000,0.000,0.000,0.9
202,9,0,0.000,0.000,0.000,1.1
203,9,0,0.000,0.000,0.000,1.3
204,9,1,-0.801,-0.817,1.144,1.1
205,9,0,0.000,0.000,0.000,1.0
206,9,0,0.000,0.000,0.000,1.2
207,9,0,0.000,0.000,0.000,0.9
208,9,0,0.000,0.000,0.000,1.4
209,9,0,0.000,0.000,0.000,1.3
210,9,0,0.000,0.000,0.000,1.1
211,9,0,0.000,0.000,0.000,1.1
212,9,0,0.000,0.000,0.000,1.0
213,9,0,0.000,0.000,0.000,1.0
214,9,0,0.000,0.000,0.000,0.8
215,9,0,0.000,0.000,0.000,0.8
216,9,0,0.000,0.000,0.000,1.0
217,9,0,0.000,0.000,0.000,1.2
218,9,0,0.000,0.000,0.000,1.0
219,9,0,0.000,0.000,0.000,1.1
220,9,3,-0.861,-0.304,0.913,1.6
221,9,0,0.000,0.000,0.000,1.0
222,9,0,0.000,0.000,0.000,0.8
