frame_idx,n_detections,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms,detected_icons
0,10,0,0.000,0.000,0.000,1156.2,0006;019;054;wuran;028;004;002;039;048;047
2,10,0,0.000,0.000,0.000,1023.4,0006;054;019;wuran;004;028;002;039;095;048
4,10,3,0.000,-1.000,1.000,1031.8,0006;054;019;wuran;028;004;002;039;095;048
6,11,5,-1.000,0.000,1.000,1010.7,054;0006;019;wuran;028;004;002;039;095;049;048
8,11,2,-0.500,-1.000,1.118,1012.4,054;0006;019;wuran;028;004;039;002;095;049;048
10,11,5,4.500,0.000,4.500,1005.7,054;019;0006;wuran;028;004;002;039;095;049;048
12,10,0,0.000,0.000,0.000,1026.9,054;019;0006;wuran;028;002;039;095;049;048
14,11,6,-1.000,-1.000,1.414,998.8,054;019;0006;043;028;wuran;002;095;039;049;014
16,12,0,0.000,0.000,0.000,1001.8,054;019;043;0006;028;wuran;048;002;039;095;049;014
18,12,5,0.000,-1.000,1.000,982.2,054;019;0006;wuran;028;004;039;048;002;095;049;014
20,11,2,1.500,-0.500,1.581,1003.1,054;019;0006;080;028;004;048;002;039;095;064
22,12,1,0.000,1.000,1.000,1016.9,019;054;080;0006;004;002;039;095;048;064;050;055
24,10,2,2.000,0.000,2.000,987.0,043;054;080;0006;004;039;002;0005;095;070
26,11,3,-1.000,-1.000,1.414,1008.4,0003;019;054;080;004;039;002;095;048;xuancai;050
28,12,4,-1.000,-1.000,1.414,985.2,0003;019;080;004;054;039;002;095;048;xuancai;050;042
30,11,1,-1.000,-5.000,5.099,996.3,0003;019;080;054;004;039;002;095;048;xuancai;042
32,11,2,2.000,0.000,2.000,1012.5,0003;019;080;054;004;028;039;002;095;048;xuancai
34,14,3,-1.000,-1.000,1.414,1002.6,0003;019;080;wuran;028;004;013;039;002;054;095;048;xuancai;070
36,13,2,0.000,-1.500,1.500,970.2,0003;019;080;wuran;004;028;054;002;039;095;048;xuancai;034
38,13,0,0.000,0.000,0.000,995.1,0003;019;080;wuran;004;028;054;002;039;095;048;077;034
40,15,5,0.000,-1.000,1.000,195.2,0003;019;wuran;080;028;004;054;002;095;048;039;034;077;070;042
42,11,2,2.500,-0.500,2.550,178.9,0003;wuran;019;080;004;028;002;095;054;039;048
44,13,1,5.500,-5.500,7.778,210.7,0003;wuran;019;080;004;028;002;095;039;054;048;055;014
46,12,6,0.000,-1.000,1.000,194.7,0003;wuran;019;080;028;004;002;095;054;039;055;048
48,12,8,-1.000,0.000,1.000,201.2,0003;wuran;019;043;080;028;002;039;048;095;054;055
50,13,3,14.000,1.000,14.036,202.1,0003;wuran;019;080;028;004;002;048;095;054;039;055;042
52,11,5,-1.000,-1.000,1.414,210.8,wuran;0003;019;080;004;028;002;048;054;095;039
54,12,4,-1.000,0.000,1.000,208.8,0003;wuran;019;080;028;004;002;054;095;039;048;014
56,13,4,1.500,0.000,1.500,207.5,0003;wuran;019;080;028;004;002;054;048;095;039;055;014
58,13,3,0.000,-1.000,1.000,199.2,wuran;0003;019;080;028;004;002;095;054;048;xuancai;039;014
60,12,4,0.000,-1.500,1.500,196.0,0003;wuran;019;080;028;004;002;095;054;048;039;xuancai
62,10,6,-1.500,-1.000,1.803,209.3,0003;wuran;019;080;028;004;002;048;054;070
64,11,1,-1.000,-19.000,19.026,217.1,wuran;0003;019;080;028;039;004;002;048;054;070
66,11,4,3.750,0.000,3.750,214.9,wuran;019;0003;080;028;039;004;002;048;054;014
68,11,3,-3.000,-1.000,3.162,225.9,wuran;019;080;0003;028;039;004;002;054;048;070
70,12,7,-1.000,0.000,1.000,215.9,wuran;019;080;028;004;039;0006;002;054;042;014;070
