frame_idx,n_tracked,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms
143,6,0,0.000,0.000,0.000,1.0
144,6,0,0.000,0.000,0.000,1.0
145,6,0,0.000,0.000,0.000,1.0
146,6,0,0.000,0.000,0.000,0.7
147,6,0,0.000,0.000,0.000,0.9
148,6,0,0.000,0.000,0.000,0.8
149,6,0,0.000,0.000,0.000,0.9
150,6,0,0.000,0.000,0.000,1.7
151,6,0,0.000,0.000,0.000,0.9
152,6,0,0.000,0.000,0.000,1.2
153,6,0,0.000,0.000,0.000,1.0
154,6,0,0.000,0.000,0.000,1.0
155,6,0,0.000,0.000,0.000,1.1
156,6,0,0.000,0.000,0.000,0.9
157,6,0,0.000,0.000,0.000,0.9
158,6,0,0.000,0.000,0.000,0.9
159,6,0,0.000,0.000,0.000,0.9
160,6,0,0.000,0.000,0.000,0.9
161,6,0,0.000,0.000,0.000,1.3
162,6,0,0.000,0.000,0.000,1.2
163,6,0,0.000,0.000,0.000,1.0
164,6,0,0.000,0.000,0.000,0.8
165,6,0,0.000,0.000,0.000,0.9
166,6,0,0.000,0.000,0.000,0.9
167,6,0,0.000,0.000,0.000,0.8
168,6,0,0.000,0.000,0.000,0.8
169,6,0,0.000,0.000,0.000,1.2
170,6,0,0.000,0.000,0.000,1.0
171,6,0,0.000,0.000,0.000,1.0
172,6,0,0.000,0.000,0.000,0.9
173,6,0,0.000,0.000,0.000,0.8
174,6,0,0.000,0.000,0.000,0.8
175,6,0,0.000,0.000,0.000,1.2
176,6,0,0.000,0.000,0.000,0.9
177,6,0,0.000,0.000,0.000,0.9
178,6,0,0.000,0.000,0.000,1.3
179,6,0,0.000,0.000,0.000,0.9
180,6,0,0.000,0.000,0.000,1.1
181,6,0,0.000,0.000,0.000,1.0
182,6,0,0.000,0.000,0.000,1.2
183,6,0,0.000,0.000,0.000,0.9
184,6,0,0.000,0.000,0.000,0.7
185,6,0,0.000,0.000,0.000,0.9
186,6,0,0.000,0.000,0.000,0.9
187,6,0,0.000,0.000,0.000,0.8
188,6,0,0.000,0.000,0.000,1.0
189,6,0,0.000,0.000,0.000,1.0
190,6,0,0.000,0.000,0.000,1.0
191,6,0,0.000,0.000,0.000,0.9
192,6,0,0.000,0.000,0.000,0.8
193,6,0,0.000,0.000,0.000,1.1
194,6,0,0.000,0.000,0.000,1.0
195,6,0,0.000,0.000,0.000,0.9
196,6,0,0.000,0.000,0.000,0.9
197,6,0,0.000,0.000,0.000,1.2
198,6,0,0.000,0.000,0.000,1.0
199,6,0,0.000,0.000,0.000,0.8
200,6,0,0.000,0.000,0.000,0.8
201,6,0,0.000,0.000,0.000,0.8
202,6,0,0.000,0.000,0.000,1.0
203,6,0,0.000,0.000,0.000,1.0
204,6,0,0.000,0.000,0.000,1.0
205,6,0,0.000,0.000,0.000,1.0
206,6,0,0.000,0.000,0.000,1.3
207,6,0,0.000,0.000,0.000,0.8
208,6,0,0.000,0.000,0.000,1.2
209,6,0,0.000,0.000,0.000,0.8
210,6,0,0.000,0.000,0.000,0.8
211,6,0,0.000,0.000,0.000,1.0
212,6,0,0.000,0.000,0.000,0.9
213,6,0,0.000,0.000,0.000,1.0
214,6,0,0.000,0.000,0.000,1.0
215,6,0,0.000,0.000,0.000,0.9
216,6,0,0.000,0.000,0.000,0.9
217,6,0,0.000,0.000,0.000,1.0
218,6,0,0.000,0.000,0.000,1.2
219,6,0,0.000,0.000,0.000,0.8
220,6,0,0.000,0.000,0.000,1.1
221,6,0,0.000,0.000,0.000,1.3
222,6,0,0.000,0.000,0.000,0.9
223,6,0,0.000,0.000,0.000,1.1
224,6,0,0.000,0.000,0.000,0.8
225,6,0,0.000,0.000,0.000,0.7
226,6,0,0.000,0.000,0.000,0.8
227,6,0,0.000,0.000,0.000,0.9
228,6,0,0.000,0.000,0.000,0.9
229,6,0,0.000,0.000,0.000,1.0
230,6,0,0.000,0.000,0.000,2.0
231,6,0,0.000,0.000,0.000,0.8
232,6,0,0.000,0.000,0.000,0.9
233,6,0,0.000,0.000,0.000,1.1
234,6,0,0.000,0.000,0.000,0.9
235,6,0,0.000,0.000,0.000,0.9
236,6,0,0.000,0.000,0.000,1.4
237,6,0,0.000,0.000,0.000,0.9
238,6,0,0.000,0.000,0.000,0.9
239,6,0,0.000,0.000,0.000,0.9
240,6,0,0.000,0.000,0.000,1.0
241,6,0,0.000,0.000,0.000,1.2
242,6,0,0.000,0.000,0.000,0.8
243,6,0,0.000,0.000,0.000,1.0
244,6,0,0.000,0.000,0.000,1.0
245,6,0,0.000,0.000,0.000,0.8
246,6,0,0.000,0.000,0.000,0.9
247,6,0,0.000,0.000,0.000,1.1
248,6,0,0.000,0.000,0.000,1.0
249,6,0,0.000,0.000,0.000,0.9
250,6,0,0.000,0.000,0.000,0.8
251,6,0,0.000,0.000,0.000,0.9
252,6,0,0.000,0.000,0.000,1.1
253,6,0,0.000,0.000,0.000,1.0
254,6,0,0.000,0.000,0.000,1.0
255,6,0,0.000,0.000,0.000,0.9
256,6,0,0.000,0.000,0.000,1.3
257,6,0,0.000,0.000,0.000,0.8
258,6,0,0.000,0.000,0.000,0.9
259,6,0,0.000,0.000,0.000,0.8
260,6,0,0.000,0.000,0.000,0.9
261,6,0,0.000,0.000,0.000,0.9
262,6,0,0.000,0.000,0.000,1.0
263,6,0,0.000,0.000,0.000,1.1
264,6,0,0.000,0.000,0.000,1.4
265,6,0,0.000,0.000,0.000,0.8
266,6,0,0.000,0.000,0.000,1.1
267,6,0,0.000,0.000,0.000,1.0
268,6,0,0.000,0.000,0.000,0.9
269,6,0,0.000,0.000,0.000,1.0
270,6,0,0.000,0.000,0.000,1.0
271,6,0,0.000,0.000,0.000,0.8
272,6,0,0.000,0.000,0.000,0.8
273,6,0,0.000,0.000,0.000,1.0
274,6,0,0.000,0.000,0.000,1.7
275,6,0,0.000,0.000,0.000,1.0
276,6,0,0.000,0.000,0.000,1.4
277,6,0,0.000,0.000,0.000,0.8
278,6,0,0.000,0.000,0.000,0.8
279,6,0,0.000,0.000,0.000,0.8
280,6,0,0.000,0.000,0.000,0.9
281,6,0,0.000,0.000,0.000,0.8
282,6,0,0.000,0.000,0.000,1.4
283,6,0,0.000,0.000,0.000,1.0
284,6,0,0.000,0.000,0.000,1.3
285,6,0,0.000,0.000,0.000,0.9
286,6,0,0.000,0.000,0.000,1.1
287,6,0,0.000,0.000,0.000,1.4
288,6,0,0.000,0.000,0.000,0.8
289,6,0,0.000,0.000,0.000,0.8
290,6,0,0.000,0.000,0.000,0.8
291,6,0,0.000,0.000,0.000,0.8
292,6,0,0.000,0.000,0.000,0.9
293,6,0,0.000,0.000,0.000,1.1
294,6,0,0.000,0.000,0.000,1.0
295,6,0,0.000,0.000,0.000,0.9
296,6,0,0.000,0.000,0.000,0.8
297,6,0,0.000,0.000,0.000,0.8
298,6,0,0.000,0.000,0.000,1.2
299,6,0,0.000,0.000,0.000,1.1
300,6,0,0.000,0.000,0.000,1.1
301,6,0,0.000,0.000,0.000,1.0
302,6,0,0.000,0.000,0.000,0.8
303,6,0,0.000,0.000,0.000,0.7
304,6,0,0.000,0.000,0.000,1.0
305,6,0,0.000,0.000,0.000,0.7
306,6,0,0.000,0.000,0.000,0.8
307,6,0,0.000,0.000,0.000,1.1
308,6,0,0.000,0.000,0.000,0.9
309,6,0,0.000,0.000,0.000,1.2
310,6,0,0.000,0.000,0.000,1.0
311,6,0,0.000,0.000,0.000,1.1
312,6,0,0.000,0.000,0.000,1.0
313,6,0,0.000,0.000,0.000,1.1
314,6,0,0.000,0.000,0.000,0.9
315,6,0,0.000,0.000,0.000,0.8
316,6,0,0.000,0.000,0.000,0.8
317,6,0,0.000,0.000,0.000,0.9
318,6,0,0.000,0.000,0.000,0.8
319,6,0,0.000,0.000,0.000,1.4
320,6,0,0.000,0.000,0.000,1.3
321,6,0,0.000,0.000,0.000,0.9
322,6,0,0.000,0.000,0.000,0.7
323,6,0,0.000,0.000,0.000,0.8
324,6,0,0.000,0.000,0.000,0.8
325,0,0,0.000,0.000,0.000,0.8
326,4,0,0.000,0.000,0.000,120.3
327,4,0,0.000,0.000,0.000,0.8
328,3,0,0.000,0.000,0.000,1.9
329,3,0,0.000,0.000,0.000,1.3
330,3,0,0.000,0.000,0.000,0.9
331,3,0,0.000,0.000,0.000,1.1
332,3,0,0.000,0.000,0.000,1.2
333,3,0,0.000,0.000,0.000,1.3
334,3,0,0.000,0.000,0.000,1.1
335,3,0,0.000,0.000,0.000,0.9
336,3,0,0.000,0.000,0.000,1.1
337,3,0,0.000,0.000,0.000,1.0
338,3,0,0.000,0.000,0.000,0.8
339,3,0,0.000,0.000,0.000,0.9
340,3,0,0.000,0.000,0.000,1.0
341,3,0,0.000,0.000,0.000,1.0
342,3,0,0.000,0.000,0.000,0.9
343,3,0,0.000,0.000,0.000,1.1
344,3,0,0.000,0.000,0.000,0.9
345,3,0,0.000,0.000,0.000,1.7
346,3,0,0.000,0.000,0.000,1.6
347,2,0,0.000,0.000,0.000,1.0
348,2,0,0.000,0.000,0.000,0.8
349,2,0,0.000,0.000,0.000,0.8
350,2,0,0.000,0.000,0.000,1.2
351,2,0,0.000,0.000,0.000,1.2
352,2,0,0.000,0.000,0.000,1.1
353,2,0,0.000,0.000,0.000,1.0
354,2,0,0.000,0.000,0.000,1.2
355,2,0,0.000,0.000,0.000,1.1
356,2,0,0.000,0.000,0.000,0.9
357,2,0,0.000,0.000,0.000,0.9
358,2,0,0.000,0.000,0.000,0.9
359,2,0,0.000,0.000,0.000,0.9
360,1,0,0.000,0.000,0.000,1.4
361,2,0,0.000,0.000,0.000,116.7
362,2,0,0.000,0.000,0.000,1.0
363,2,0,0.000,0.000,0.000,0.9
364,2,0,0.000,0.000,0.000,0.9
365,2,0,0.000,0.000,0.000,1.1
366,2,0,0.000,0.000,0.000,0.8
367,2,0,0.000,0.000,0.000,0.9
368,2,0,0.000,0.000,0.000,0.9
369,2,0,0.000,0.000,0.000,1.3
370,2,0,0.000,0.000,0.000,1.2
371,2,0,0.000,0.000,0.000,1.0
372,2,0,0.000,0.000,0.000,0.9
373,2,0,0.000,0.000,0.000,0.9
374,2,0,0.000,0.000,0.000,1.0
375,2,0,0.000,0.000,0.000,1.0
376,2,0,0.000,0.000,0.000,0.9
377,2,0,0.000,0.000,0.000,1.0
378,2,0,0.000,0.000,0.000,1.0
