frame_idx,n_detections,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms,detected_icons
318,12,0,0.000,0.000,0.000,989.7,072;wuran;039;0003;028;019;054;0005;016;095;044;070
320,12,7,0.000,-1.000,1.000,999.4,072;wuran;039;0003;028;019;0005;054;095;044;049;070
322,12,7,-1.000,0.000,1.000,999.1,072;wuran;039;0003;028;019;0005;054;095;044;049;070
324,13,2,-0.500,1.500,1.581,993.1,072;wuran;039;0003;028;019;0005;054;095;044;049;070;064
326,12,1,5.000,22.000,22.561,982.6,072;wuran;039;0003;019;028;0005;054;095;044;049;070
328,11,8,0.000,-1.000,1.000,995.1,072;wuran;039;0003;019;028;054;0005;095;044;049
330,11,2,1.250,-0.250,1.275,986.2,072;wuran;039;0003;019;028;054;0005;095;044;049
332,12,7,-1.000,0.000,1.000,999.9,072;wuran;0006;019;028;039;054;095;0005;044;049;055
334,13,5,0.000,-1.000,1.000,978.6,072;wuran;028;019;039;0006;054;016;095;044;0005;055;074
336,12,5,0.000,-1.000,1.000,996.2,072;wuran;019;028;039;0006;054;016;095;0005;055;060
338,11,1,-22.000,-17.000,27.803,995.0,072;wuran;019;028;039;054;0006;016;095;0005;055
340,11,3,0.000,-1.000,1.000,1024.3,072;wuran;0006;019;028;039;054;016;095;0005;064
342,11,5,-1.000,-1.000,1.414,1051.3,072;wuran;039;019;0006;054;028;016;095;0005;055
344,11,0,0.000,0.000,0.000,1056.5,072;wuran;0006;039;019;028;054;016;095;0005;055
346,11,2,2.500,8.500,8.860,1047.3,072;wuran;0006;039;019;054;028;016;095;0005;055
348,11,5,-1.000,-1.000,1.414,1007.0,072;wuran;0006;039;019;054;028;016;095;0005;064
350,11,3,-1.000,-1.000,1.414,1011.1,072;wuran;0006;039;054;019;028;016;095;0005;055
352,11,5,-1.000,0.000,1.000,1001.6,wuran;0003;039;019;054;028;016;009;095;0005;055
354,11,2,0.000,-1.000,1.000,1007.8,072;0003;wuran;054;039;019;028;013;0005;064;055
356,11,0,0.000,0.000,0.000,1001.5,072;wuran;0003;039;019;054;028;016;042;0005;014
358,12,2,0.500,-0.500,0.707,1010.7,072;wuran;0003;039;019;054;028;016;042;0005;014;044
360,13,3,0.000,-1.000,1.000,980.5,072;wuran;0003;019;054;028;039;042;095;0005;044;055;014
362,13,4,0.000,-1.000,1.000,1000.8,072;wuran;0003;019;054;028;039;0005;095;044;055;014;064
364,13,0,0.000,0.000,0.000,982.1,072;wuran;0003;019;054;028;039;042;044;0005;055;014;064
366,13,2,1.500,6.000,6.185,984.2,072;wuran;0003;019;054;028;039;042;044;0005;055;064;014
368,13,1,2.000,1.000,2.236,998.0,072;wuran;0003;019;054;028;039;095;042;044;0005;055;014
370,13,7,0.000,-1.000,1.000,978.3,072;wuran;0003;019;054;028;039;042;044;0005;055;014;064
372,12,0,0.000,0.000,0.000,985.6,072;wuran;0003;019;054;028;039;042;044;0005;055;064
374,12,4,-1.000,0.000,1.000,987.8,072;0003;wuran;019;054;028;049;042;095;044;0005;055
376,13,0,0.000,0.000,0.000,990.7,072;0003;wuran;019;054;028;049;042;095;044;0005;055;064
378,12,0,0.000,0.000,0.000,978.1,072;wuran;019;0003;054;028;049;042;095;044;0005;055
380,14,0,0.000,0.000,0.000,992.8,072;wuran;019;054;028;0003;049;042;095;044;0005;036;055;064
382,13,0,0.000,0.000,0.000,972.9,072;wuran;019;054;028;0006;049;042;095;044;0005;036;055
384,12,0,0.000,0.000,0.000,974.1,072;wuran;019;054;028;049;0006;042;095;044;0005;055
386,12,5,0.000,-1.000,1.000,1009.5,072;019;0003;054;wuran;028;049;042;095;055;044;0005
388,12,1,-1.000,0.000,1.000,985.3,072;0003;019;054;wuran;028;049;042;095;055;044;0005
390,12,0,0.000,0.000,0.000,992.9,072;0003;019;054;wuran;028;049;042;095;055;044;0005
392,12,0,0.000,0.000,0.000,987.3,072;0003;019;054;wuran;028;049;042;095;055;044;0005
394,12,2,0.500,1.000,1.118,995.4,072;0003;019;054;wuran;028;049;042;095;055;044;0005
396,12,1,1.000,-1.000,1.414,988.3,072;0003;019;054;wuran;028;049;042;095;055;044;0005
398,12,1,-1.000,1.000,1.414,994.9,072;0003;019;054;wuran;028;049;042;095;055;044;0005
