icon_name,observations,moving_frames,stationary_frames,move_pct,total_displacement
0003,93,1,92,1.1,1.0
0005,111,51,60,45.9,138.9
0006,77,0,77,0.0,0.0
002,141,102,39,72.3,534.1
004,40,25,15,62.5,58.7
005,0,0,0,0.0,0.0
009,0,0,0,0.0,0.0
013,8,3,5,37.5,5.2
014,46,19,27,41.3,52.5
016,14,6,8,42.9,14.8
017,15,1,14,6.7,1.0
018,11,7,4,63.6,21.4
019,188,110,78,58.5,249.1
021,0,0,0,0.0,0.0
028,109,45,64,41.3,51.0
034,1,0,1,0.0,0.0
036,1,0,1,0.0,0.0
039,137,51,86,37.2,86.7
042,35,5,30,14.3,7.2
043,39,29,10,74.4,116.2
044,46,21,25,45.7,29.4
046,0,0,0,0.0,0.0
047,0,0,0,0.0,0.0
048,63,28,35,44.4,45.8
049,30,7,23,23.3,9.1
050,0,0,0,0.0,0.0
053,0,0,0,0.0,0.0
054,175,75,100,42.9,186.8
055,38,14,24,36.8,18.7
057,9,2,7,22.2,5.0
060,0,0,0,0.0,0.0
064,16,11,5,68.8,16.9
070,57,24,33,42.1,32.7
071,20,10,10,50.0,13.4
072,51,29,22,56.9,222.0
074,0,0,0,0.0,0.0
077,0,0,0,0.0,0.0
080,44,27,17,61.4,74.4
087,43,23,20,53.5,83.3
088,2,1,1,50.0,1.0
091,0,0,0,0.0,0.0
095,77,36,41,46.8,38.5
wuran,189,88,101,46.6,242.5
xuancai,4,1,3,25.0,1.0
