frame_idx,n_tracked,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms
0,3,0,0.000,0.000,0.000,94.3
1,2,0,0.000,0.000,0.000,1.4
2,2,0,0.000,0.000,0.000,0.9
3,2,0,0.000,0.000,0.000,0.7
4,2,0,0.000,0.000,0.000,0.7
5,2,0,0.000,0.000,0.000,0.7
6,2,0,0.000,0.000,0.000,0.8
7,2,0,0.000,0.000,0.000,0.7
8,2,0,0.000,0.000,0.000,1.2
9,2,0,0.000,0.000,0.000,0.8
10,2,0,0.000,0.000,0.000,0.8
11,2,0,0.000,0.000,0.000,0.6
12,2,0,0.000,0.000,0.000,0.6
13,2,0,0.000,0.000,0.000,0.7
14,2,0,0.000,0.000,0.000,0.8
15,2,0,0.000,0.000,0.000,0.7
16,2,0,0.000,0.000,0.000,0.8
17,2,0,0.000,0.000,0.000,0.9
18,2,0,0.000,0.000,0.000,0.8
19,2,0,0.000,0.000,0.000,0.9
20,2,0,0.000,0.000,0.000,0.7
21,2,0,0.000,0.000,0.000,0.6
22,2,0,0.000,0.000,0.000,0.6
23,2,0,0.000,0.000,0.000,0.6
24,2,0,0.000,0.000,0.000,0.8
25,2,0,0.000,0.000,0.000,0.6
26,2,0,0.000,0.000,0.000,0.7
27,2,0,0.000,0.000,0.000,0.8
28,2,0,0.000,0.000,0.000,0.6
29,2,0,0.000,0.000,0.000,0.8
30,2,0,0.000,0.000,0.000,0.9
31,2,0,0.000,0.000,0.000,0.6
32,2,0,0.000,0.000,0.000,0.7
33,2,0,0.000,0.000,0.000,0.8
34,2,0,0.000,0.000,0.000,0.7
35,2,0,0.000,0.000,0.000,0.8
36,2,0,0.000,0.000,0.000,0.8
37,2,0,0.000,0.000,0.000,1.5
38,2,0,0.000,0.000,0.000,0.9
39,2,0,0.000,0.000,0.000,1.7
40,2,0,0.000,0.000,0.000,1.4
41,2,0,0.000,0.000,0.000,1.2
42,2,0,0.000,0.000,0.000,1.3
43,2,0,0.000,0.000,0.000,1.0
44,2,0,0.000,0.000,0.000,1.1
45,2,0,0.000,0.000,0.000,0.8
46,2,0,0.000,0.000,0.000,1.1
47,2,0,0.000,0.000,0.000,0.8
48,2,0,0.000,0.000,0.000,0.7
49,2,0,0.000,0.000,0.000,0.7
50,2,0,0.000,0.000,0.000,1.0
51,2,0,0.000,0.000,0.000,0.9
